city,city_development_index,relevent_experience,enrolled_university,education_level,experience,company_size,last_new_job,training_hours,target,gender_female,gender_male,gender_missing,gender_other,major_arts,major_business,major_humanities,major_missing,major_noMajor,major_other,major_STEM,experience_type
103,0.92,1,3,3,21,9,1,36,1,0,1,0,0,0,0,0,0,0,0,1,1.0
40,0.7759999999999999,0,3,3,15,6,5,47,0,0,1,0,0,0,0,0,0,0,0,1,3.0
21,0.624,0,1,3,5,9,0,83,0,0,0,1,0,0,0,0,0,0,0,1,5.0
115,0.789,0,3,3,0,9,0,52,1,0,0,1,0,0,1,0,0,0,0,0,7.0
162,0.767,1,3,2,21,6,4,8,0,0,1,0,0,0,0,0,0,0,0,1,1.0
176,0.764,1,2,3,11,9,1,24,1,0,0,1,0,0,0,0,0,0,0,1,3.0
160,0.92,1,3,4,5,6,1,24,0,0,1,0,0,0,0,0,1,0,0,0,5.0
46,0.762,1,3,3,13,8,5,18,1,0,1,0,0,0,0,0,0,0,0,1,3.0
103,0.92,1,3,3,7,6,1,46,1,0,1,0,0,0,0,0,0,0,0,1,4.0
103,0.92,1,3,3,17,1,5,123,0,0,0,1,0,0,0,0,0,0,0,1,2.0
21,0.624,0,1,4,2,9,0,32,1,0,0,1,0,0,0,0,1,0,0,0,6.0
103,0.92,1,3,3,5,2,1,108,0,0,1,0,0,0,0,0,0,0,0,1,5.0
61,0.913,1,3,3,21,3,3,23,0,0,1,0,0,0,0,0,0,0,0,1,1.0
21,0.624,0,3,3,2,9,0,24,0,0,1,0,0,0,0,0,1,0,0,0,6.0
21,0.624,0,1,4,5,9,0,26,0,0,0,1,0,0,0,0,1,0,0,0,5.0
114,0.926,1,3,3,16,7,5,18,0,0,1,0,0,0,0,0,0,0,0,1,2.0
103,0.92,1,3,3,1,6,0,106,0,0,0,1,0,0,0,0,0,0,0,1,6.0
21,0.624,1,3,3,2,2,2,7,0,0,0,1,0,0,0,0,0,0,0,1,6.0
21,0.624,1,3,3,7,1,0,23,1,0,0,1,0,0,0,0,0,0,0,1,4.0
13,0.8270000000000001,1,3,3,4,9,1,132,1,1,0,0,0,1,0,0,0,0,0,0,5.0
159,0.843,1,3,2,11,5,1,68,0,0,1,0,0,0,0,0,0,0,0,1,3.0
114,0.926,1,3,2,11,5,2,50,0,0,1,0,0,0,0,0,0,0,0,1,3.0
